symptoms,doctor_specialty
"mild headache, headache, cough, cold, runny nose, loss of consciousness",General Physician
"weight gain, nausea",Gastroenterologist
"blood in urine, swelling of feet",Nephrologist
"bloating, weight gain",Gastroenterologist
"cough, fatigue, mood swings",General Physician
"sore throat, nausea",General Physician
"penile discharge, blood in urine, frequent urination, difficulty passing urine",Urologist
"runny nose, fatigue, itchy eyes",Allergist/Immunologist
"recurrent lung infections, weight gain, coughing blood",Pulmonologist
"eye pain, blurred vision",Ophthalmologist
"weakness, fever",Neurologist
"headache, numbness, seizures, slurred speech",Neurologist
"panic attacks, fever, anxiety, coughing blood",Psychiatrist
"mild headache, chills, sore throat",General Physician
"muscle weakness, back pain",Orthopedist
seizures,Neurologist
"body ache, chills",General Physician
"skin rash, scaly patches, hives",Dermatologist
"stiffness, joint pain, back pain",Orthopedist
"fever, weakness, memory loss",Neurologist
"acne, hives",Dermatologist
"penile discharge, frequent urination, difficulty passing urine, lower abdominal pain",Urologist
"fatigue, cough, fever, nausea",General Physician
"unexplained weight loss, frequent urination",Endocrinologist
"sweating, radiating arm pain, high blood pressure, sore throat",Cardiologist
"nausea, headache",General Physician
painful periods,Gynecologist
"slurred speech, painful periods",Neurologist
"body ache, cough",General Physician
"cough, body ache, headache",General Physician
"blood in stool, nausea, heartburn, abdominal pain, lower abdominal pain",Gastroenterologist
"diarrhea, vomiting",Gastroenterologist
"fever, eye discharge",Ophthalmologist
nausea,General Physician
"wheezing, recurrent lung infections, weight gain, fatigue",Pulmonologist
"fainting, swelling of legs, radiating arm pain, high blood pressure",Cardiologist
chest tightness,Pulmonologist
"chills, fever",General Physician
"headache, nausea, loss of appetite",General Physician
"loss of appetite, cough, fainting",General Physician
"flank pain, swelling of feet, blood in urine, reduced urine output",Nephrologist
"vaginal discharge, painful periods, pelvic pain",Gynecologist
"ear pain, headache, frequent urination",ENT Specialist
chills,General Physician
weight gain,Pulmonologist
"mild headache, cough",General Physician
"shortness of breath, palpitations, radiating arm pain, swelling of legs",Cardiologist
"blurred vision, sudden vision loss",Ophthalmologist
ear pain,ENT Specialist
"nausea, chills, runny nose",General Physician
"wheezing, swelling after exposure, itchy eyes, hives, runny nose",Allergist/Immunologist
"stiffness, joint pain, floaters",Orthopedist
"numbness, fever, dizziness, headache",Neurologist
"dizziness, blood in urine, lower abdominal pain",Urologist
"hives, sneezing",Allergist/Immunologist
"depressed mood, anxiety, panic attacks, hallucinations",Psychiatrist
"fever, frequent urination",Urologist
"sore throat, cough",General Physician
"dizziness, headache, weakness",Neurologist
"recurrent lung infections, chest tightness, weight gain",Pulmonologist
"runny nose, ear pain, hoarseness, high creatinine",ENT Specialist
"sore throat, runny nose, headache",General Physician
"flank pain, reduced urine output, swelling of feet, weight gain, foamy urine",Nephrologist
"weight gain, tinnitus, nasal congestion",ENT Specialist
"ear pain, hearing loss, runny nose, sore throat, weight gain",ENT Specialist
"blood in stool, constipation, vomiting, heartburn",Gastroenterologist
"breast lump, menstrual cramps, pelvic pain, irregular periods",Gynecologist
"fatigue, loss of appetite, sore throat",General Physician
frequent urination,Urologist
"high creatinine, swelling of feet, foamy urine",Nephrologist
"blisters, hives, hair loss",Dermatologist
"depressed mood, hallucinations, insomnia",Psychiatrist
"radiating arm pain, palpitations, high blood pressure, swelling of legs",Cardiologist
"fatigue, loss of appetite, chills, nausea",General Physician
"mild headache, body ache",General Physician
"fatigue, cold intolerance, weight gain, frequent urination",Endocrinologist
"loss of consciousness, dizziness",Neurologist
"swelling after exposure, itchy eyes, sore throat",Allergist/Immunologist
"watering eyes, blurred vision, eye discharge",Ophthalmologist
"hearing loss, tinnitus, weight gain, ear pain",ENT Specialist
"itching, hair loss, redness",Dermatologist
"skin rash, scaly patches",Dermatologist
"watering eyes, fever, floaters",Ophthalmologist
"swelling of feet, weight gain",Nephrologist
"itching, skin rash, acne, dry skin",Dermatologist
"heavy bleeding, vaginal discharge",Gynecologist
"diarrhea, vomiting",Gastroenterologist
"sweating, radiating arm pain",Cardiologist
"back pain, joint pain, bone pain, limited range of motion",Orthopedist
"diarrhea, abdominal pain",Gastroenterologist
"nausea, sore throat, cold, mild headache",General Physician
"cold intolerance, excessive thirst, weight gain",Endocrinologist
"nausea, chest pain",General Physician
"mild headache, cough",General Physician
"swelling after exposure, fatigue, sneezing, wheezing",Allergist/Immunologist
"hearing loss, sore throat, weight gain, fatigue",ENT Specialist
"fainting, high blood pressure, palpitations, swelling of legs",Cardiologist
fatigue,Endocrinologist
"persistent cough, shortness of breath, coughing blood, weight gain",Pulmonologist
"joint pain, muscle weakness",Orthopedist
"swelling, muscle weakness, limited range of motion, bone pain",Orthopedist
"dizziness, loss of consciousness, headache",Neurologist
"chills, cold, mild headache",General Physician
"mild headache, runny nose",General Physician
"recurrent lung infections, coughing blood, persistent cough",Pulmonologist
"headache, chills, loss of appetite",General Physician
"depressed mood, insomnia",Psychiatrist
"cold, body ache",General Physician
"chest pain, fainting, swelling of legs, headache",Cardiologist
skin rash,Dermatologist
"lower abdominal pain, difficulty passing urine",Urologist
"foamy urine, swelling of feet, high creatinine, flank pain, palpitations",Nephrologist
"hair loss, blisters, hives, itching, redness",Dermatologist
"fever, seizures, headache",Neurologist
"wheezing, persistent cough, weight gain",Pulmonologist
"nausea, fatigue",General Physician
"high blood pressure, radiating arm pain",Cardiologist
"limited range of motion, back pain, swelling, joint pain",Orthopedist
"chills, headache, cough, cold",General Physician
"painful periods, heavy bleeding, vaginal discharge",Gynecologist
menstrual cramps,Gynecologist
"loss of appetite, headache, sore throat, runny nose",General Physician
"chest pain, shortness of breath, sweating",Cardiologist
"bone pain, stiffness, back pain",Orthopedist
"limited range of motion, bone pain, joint pain, back pain, muscle weakness",Orthopedist
"sweating, radiating arm pain",Cardiologist
"body ache, nausea, loss of appetite, headache",General Physician
"vaginal discharge, pelvic pain",Gynecologist
"headache, chills, fatigue, cough, loss of appetite",General Physician
"menstrual cramps, pelvic pain, irregular periods",Gynecologist
red eye,Ophthalmologist
"cold, body ache, mild headache, fatigue",General Physician
"swelling after exposure, fatigue",Allergist/Immunologist
"vaginal discharge, painful periods, menstrual cramps, irregular periods, breast lump",Gynecologist
diarrhea,Gastroenterologist
"blurred vision, eye pain, red eye",Ophthalmologist
"tinnitus, headache",ENT Specialist
"sweating, fainting, high blood pressure, chest pain",Cardiologist
"back pain, joint pain",Orthopedist
"blood in urine, dizziness",Urologist
"numbness, headache",Neurologist
"hoarseness, fatigue",ENT Specialist
"reduced urine output, swelling of feet",Nephrologist
"chest tightness, weight gain, coughing blood, persistent cough",Pulmonologist
"fatigue, chills, nausea",General Physician
"nausea, headache, mild headache, blood in urine",General Physician
"shortness of breath, radiating arm pain, high blood pressure",Cardiologist
"bloating, weight gain, heartburn",Gastroenterologist
"dizziness, penile discharge",Urologist
"nausea, cold",General Physician
"nausea, body ache",General Physician
"abdominal pain, constipation, bloating, blood in urine",Gastroenterologist
"hair loss, dry skin",Dermatologist
"dry skin, itching, hives, acne",Dermatologist
"hives, hair loss",Dermatologist
"weight gain, ear pain",ENT Specialist
"fatigue, wheezing, swelling after exposure, high creatinine",Allergist/Immunologist
"body ache, runny nose, anxiety",General Physician
"reduced urine output, swelling of feet, weight gain, hearing loss",Nephrologist
"redness, hair loss, hives",Dermatologist
"swelling, stiffness, muscle weakness",Orthopedist
"loss of consciousness, seizures, weakness, slurred speech, memory loss",Neurologist
"memory loss, seizures, fatigue",Neurologist
"irregular periods, painful periods, heavy bleeding, breast lump, menstrual cramps",Gynecologist
"chills, nausea",General Physician
acne,Dermatologist
"persistent cough, weight gain",Pulmonologist
"mood swings, anxiety",Psychiatrist
"sneezing, itchy eyes, runny nose",Allergist/Immunologist
"runny nose, sore throat, weight gain",ENT Specialist
"swelling after exposure, fatigue, hives",Allergist/Immunologist
"cold, cough",General Physician
"breast lump, painful periods, vaginal discharge",Gynecologist
chest pain,Cardiologist
numbness,Neurologist
"mood swings, insomnia, suicidal thoughts, blurred vision",Psychiatrist
"flank pain, foamy urine, reduced urine output",Nephrologist
"hair loss, dry skin, blisters",Dermatologist
menstrual cramps,Gynecologist
"runny nose, itchy eyes",Allergist/Immunologist
"runny nose, wheezing, hives, fatigue",Allergist/Immunologist
"fatigue, fever, cough",General Physician
"blisters, itching",Dermatologist
"nausea, fatigue",General Physician
"chills, sore throat, nausea",General Physician
"weight gain, constipation, nausea, bloating",Gastroenterologist
sore throat,General Physician
"runny nose, cold, fever, mild headache",General Physician
nausea,Gastroenterologist
"hives, itchy eyes, fatigue",Allergist/Immunologist
"sneezing, fatigue, runny nose",Allergist/Immunologist
"sore throat, chills",General Physician
"joint pain, stiffness",Orthopedist
"runny nose, body ache, nausea",General Physician
"insomnia, fever, panic attacks, depressed mood",Psychiatrist
"suicidal thoughts, mood swings",Psychiatrist
"nasal congestion, tinnitus",ENT Specialist
cold,General Physician
"foamy urine, high creatinine, swelling of feet",Nephrologist
"mild headache, cough, nausea, cold",General Physician
"chills, unexplained weight loss",General Physician
"blurred vision, eye discharge, floaters, sudden vision loss",Ophthalmologist
"bone pain, back pain",Orthopedist
"sudden vision loss, eye discharge",Ophthalmologist
"painful periods, vaginal discharge",Gynecologist
"ear pain, headache, fatigue, hoarseness",ENT Specialist
"bone pain, swelling",Orthopedist
"loss of appetite, headache, fatigue",General Physician
"runny nose, wheezing",Allergist/Immunologist
"stiffness, muscle weakness, joint pain",Orthopedist
"eye discharge, blurred vision",Ophthalmologist
"chest pain, swelling of legs, radiating arm pain, cold intolerance",Cardiologist
"vaginal discharge, pelvic pain, irregular periods, painful periods",Gynecologist
"sudden vision loss, eye pain, floaters, red eye",Ophthalmologist
"dizziness, slurred speech",Neurologist
"weight gain, bloating",Gastroenterologist
"blood in urine, reduced urine output, flank pain, weight gain",Nephrologist
"shortness of breath, chest tightness, recurrent lung infections",Pulmonologist
"vomiting, heartburn, constipation, blood in stool",Gastroenterologist
"painful periods, heavy bleeding, irregular periods, vaginal discharge",Gynecologist
"sweating, palpitations, shortness of breath",Cardiologist
"cough, chills, loss of appetite, cold",General Physician
radiating arm pain,Cardiologist
"hearing loss, tinnitus",ENT Specialist
"bone pain, limited range of motion, swelling, stiffness",Orthopedist
"shortness of breath, radiating arm pain, high blood pressure",Cardiologist
"joint pain, stiffness, bone pain, muscle weakness",Orthopedist
"stiffness, bone pain, swelling, back pain, limited range of motion",Orthopedist
"constipation, headache, heartburn",Gastroenterologist
"blurred vision, floaters, watering eyes, red eye",Ophthalmologist
"cold, chills",General Physician
"seizures, weakness, loss of consciousness",Neurologist
"irregular periods, breast lump, heavy bleeding",Gynecologist
"scaly patches, skin rash, itching, blisters",Dermatologist
"stiffness, swelling, joint pain, bone pain",Orthopedist
"swelling of feet, foamy urine",Nephrologist
"loss of appetite, chills",General Physician
"wheezing, sneezing",Allergist/Immunologist
scaly patches,Dermatologist
"eye pain, eye discharge, sudden vision loss, blurred vision",Ophthalmologist
"diarrhea, nausea, weight gain, chills",Gastroenterologist
"shortness of breath, radiating arm pain, swelling of legs",Cardiologist
"acne, itching, redness, fever",Dermatologist
"slurred speech, fever, loss of consciousness",Neurologist
"sneezing, fatigue",Allergist/Immunologist
"shortness of breath, chest pain, sweating, swelling of legs",Cardiologist
"runny nose, fever, chills, cough",General Physician
"high blood pressure, sweating, swelling of legs, palpitations",Cardiologist
"hoarseness, hearing loss",ENT Specialist
"headache, cough, chills",General Physician
"fever, sudden vision loss, watering eyes, blurred vision, red eye",Ophthalmologist
"cold, body ache, fatigue",General Physician
"ear pain, hearing loss",ENT Specialist
"swelling of feet, reduced urine output, blood in urine",Nephrologist
"radiating arm pain, high blood pressure, palpitations",Cardiologist
radiating arm pain,Cardiologist
dizziness,Neurologist
"slurred speech, fever",Neurologist
"limited range of motion, back pain, joint pain",Orthopedist
"breast lump, heavy bleeding, fatigue",Gynecologist
"abdominal pain, vomiting, headache, heartburn",Gastroenterologist
"weight gain, blood in stool, vomiting, bloating",Gastroenterologist
"vomiting, nausea, heartburn, abdominal pain",Gastroenterologist
"hair loss, runny nose",Dermatologist
"constipation, diarrhea",Gastroenterologist
"joint pain, bone pain, back pain, mild headache",Orthopedist
"nausea, bloating",Gastroenterologist
"wheezing, sneezing, runny nose, swelling after exposure",Allergist/Immunologist
"dry skin, scaly patches",Dermatologist
"stiffness, swelling, limited range of motion, joint pain",Orthopedist
fever,Urologist
"unexplained weight loss, frequent urination, cold intolerance, heat intolerance",Endocrinologist
fainting,Cardiologist
"itchy eyes, wheezing, sneezing",Allergist/Immunologist
"loss of appetite, body ache",General Physician
"blood in stool, nausea, headache, abdominal pain, recurrent lung infections",Gastroenterologist
"red eye, sudden vision loss, eye discharge",Ophthalmologist
"recurrent lung infections, chest tightness",Pulmonologist
"weight gain, vomiting, heartburn, abdominal pain",Gastroenterologist
"palpitations, fainting",Cardiologist
"nausea, fatigue",General Physician
"fever, chills, body ache",General Physician
"watering eyes, joint pain",Ophthalmologist
"runny nose, hearing loss, tinnitus, ear pain, fatigue",ENT Specialist
"fever, sore throat, fatigue",General Physician
"fainting, shortness of breath, chest pain, high blood pressure",Cardiologist
"bone pain, limited range of motion, joint pain",Orthopedist
"diarrhea, headache, weight gain",Gastroenterologist
"irregular periods, painful periods",Gynecologist
"cold, fever, loss of appetite",General Physician
"weight gain, constipation, diarrhea",Gastroenterologist
"weight gain, high creatinine, flank pain, swelling of feet",Nephrologist
itching,Dermatologist
"itchy eyes, fatigue, swelling after exposure",Allergist/Immunologist
"cold, fatigue, cough",General Physician
"cold, headache",General Physician
"shortness of breath, palpitations",Cardiologist
"menstrual cramps, irregular periods, painful periods",Gynecologist
"limited range of motion, muscle weakness, swelling",Orthopedist
"body ache, fever, nausea",General Physician
numbness,Neurologist
fatigue,Endocrinologist
"floaters, red eye, eye discharge",Ophthalmologist
"foamy urine, reduced urine output, high creatinine, swelling of feet",Nephrologist
"sore throat, chills, mild headache",General Physician
"fever, floaters, blurred vision",Ophthalmologist
"vomiting, nausea, heartburn, blood in stool",Gastroenterologist
"diarrhea, vomiting, nausea, heartburn",Gastroenterologist
bone pain,Orthopedist
"hearing loss, nasal congestion, runny nose, ear pain, tinnitus",ENT Specialist
"wheezing, shortness of breath, weight gain",Pulmonologist
"recurrent lung infections, coughing blood",Pulmonologist
"red eye, eye discharge, watering eyes",Ophthalmologist
"red eye, sudden vision loss",Ophthalmologist
"chest pain, radiating arm pain, fainting, swelling of legs",Cardiologist
"bone pain, back pain, swelling, muscle weakness",Orthopedist
"shortness of breath, palpitations",Cardiologist
"chest tightness, persistent cough, weight gain, shortness of breath, red eye",Pulmonologist
"fever, cold, mild headache, loss of appetite, cough",General Physician
"body ache, fever, loss of appetite, fatigue",General Physician
"body ache, mild headache, headache",General Physician
"body ache, cough",General Physician
"vaginal discharge, painful periods",Gynecologist
nausea,General Physician
"cold, mild headache",General Physician
"wheezing, runny nose, itchy eyes, swelling after exposure, sneezing",Allergist/Immunologist
"runny nose, cough, menstrual cramps",General Physician
"redness, hair loss, hives, blisters",Dermatologist
"cough, headache, mild headache",General Physician
"difficulty passing urine, lower abdominal pain",Urologist
"fatigue, hoarseness, headache, nasal congestion, hearing loss",ENT Specialist
"painful periods, breast lump",Gynecologist
"joint pain, muscle weakness",Orthopedist
"sweating, chest pain, palpitations",Cardiologist
"wheezing, weight gain, shortness of breath, recurrent lung infections",Pulmonologist
dry skin,Dermatologist
"foamy urine, blood in urine",Nephrologist
"fever, sore throat, loss of appetite",General Physician
"headache, nasal congestion, tinnitus, fatigue",ENT Specialist
"breast lump, vaginal discharge, painful periods",Gynecologist
"chills, sore throat, cough",General Physician
"fever, nausea, headache",General Physician
"heavy bleeding, menstrual cramps",Gynecologist
"swelling of legs, shortness of breath",Cardiologist
"body ache, mild headache, loss of appetite, cough",General Physician
"painful periods, pelvic pain, menstrual cramps",Gynecologist
"cold, chills, mild headache, sore throat",General Physician
"hives, sneezing, wheezing, swelling after exposure, runny nose",Allergist/Immunologist
"diarrhea, heartburn",Gastroenterologist
"limited range of motion, bone pain",Orthopedist
"dry skin, skin rash",Dermatologist
"fatigue, chills, body ache",General Physician
"watering eyes, floaters, blurred vision",Ophthalmologist
"insomnia, suicidal thoughts",Psychiatrist
"runny nose, nausea, fatigue",General Physician
"loss of consciousness, memory loss",Neurologist
"watering eyes, blurred vision, eye discharge",Ophthalmologist
"dry skin, redness, itching, hair loss, skin rash",Dermatologist
"palpitations, shortness of breath, high blood pressure",Cardiologist
"acne, blisters",Dermatologist
"wheezing, persistent cough, shortness of breath, recurrent lung infections, weight gain",Pulmonologist
"mild headache, fever",General Physician
"dizziness, fever, numbness",Neurologist
red eye,Ophthalmologist
"radiating arm pain, palpitations, shortness of breath, swelling of legs",Cardiologist
headache,ENT Specialist
"hives, wheezing, fatigue",Allergist/Immunologist
"loss of appetite, headache, sore throat, cough",General Physician
"runny nose, headache, hoarseness, tinnitus",ENT Specialist
"fever, runny nose, cold",General Physician
"excessive thirst, frequent urination, fatigue, heat intolerance",Endocrinologist
"muscle weakness, joint pain, back pain, swelling",Orthopedist
penile discharge,Urologist
"back pain, stiffness, swelling",Orthopedist
"unexplained weight loss, excessive thirst, cold intolerance, heat intolerance, weight gain",Endocrinologist
"fever, lower abdominal pain, burning urination",Urologist
"headache, runny nose, sore throat",ENT Specialist
"fainting, high blood pressure, chest pain",Cardiologist
"heartburn, vomiting",Gastroenterologist
"loss of appetite, fatigue, cough",General Physician
"mild headache, sore throat, chest tightness",General Physician
"muscle weakness, limited range of motion",Orthopedist
"floaters, eye pain, sudden vision loss",Ophthalmologist
"bone pain, swelling, back pain",Orthopedist
"painful periods, menstrual cramps, pelvic pain, heavy bleeding",Gynecologist
"headache, constipation, blood in stool",Gastroenterologist
"swelling after exposure, wheezing, sneezing",Allergist/Immunologist
"difficulty passing urine, floaters",Urologist
"burning urination, lower abdominal pain",Urologist
"fatigue, runny nose",General Physician
irregular periods,Gynecologist
"hives, hair loss, scaly patches, dizziness",Dermatologist
"chills, mild headache",General Physician
"runny nose, headache",General Physician
"fatigue, wheezing, sneezing, swelling after exposure",Allergist/Immunologist
"hair loss, scaly patches, redness",Dermatologist
"seizures, numbness",Neurologist
"chills, runny nose, loss of appetite, itching",General Physician
radiating arm pain,Cardiologist
"heartburn, headache",Gastroenterologist
"hair loss, dry skin, redness, blisters",Dermatologist
"nausea, body ache, headache",General Physician
"headache, heartburn",Gastroenterologist
body ache,General Physician
"hives, wheezing",Allergist/Immunologist
"sudden vision loss, blurred vision, eye discharge, eye pain, floaters",Ophthalmologist
"frequent urination, lower abdominal pain, dizziness, burning urination",Urologist
"loss of consciousness, headache",Neurologist
"dizziness, penile discharge",Urologist
"mild headache, runny nose, cold",General Physician
"fever, slurred speech, weakness, dizziness",Neurologist
body ache,General Physician
loss of appetite,General Physician
"loss of consciousness, headache, dizziness",Neurologist
"limited range of motion, stiffness, muscle weakness, bone pain, back pain",Orthopedist
"fever, watering eyes, blurred vision, muscle weakness",Ophthalmologist
"dry skin, itching, blisters",Dermatologist
"flank pain, reduced urine output",Nephrologist
"weakness, fever",Neurologist
"high creatinine, flank pain, foamy urine, weight gain, blood in urine",Nephrologist
scaly patches,Dermatologist
"acne, blisters",Dermatologist
hair loss,Dermatologist
"hives, sneezing, fatigue",Allergist/Immunologist
sore throat,General Physician
"redness, hair loss",Dermatologist
"watering eyes, floaters",Ophthalmologist
"fatigue, fever",General Physician
"bone pain, limited range of motion",Orthopedist
"foamy urine, weight gain, blood in urine, flank pain",Nephrologist
"irregular periods, vaginal discharge",Gynecologist
"sweating, fainting, swelling of legs",Cardiologist
"headache, cold, loss of appetite, high blood pressure",General Physician
"cough, sore throat",General Physician
"swelling of feet, blood in urine",Nephrologist
itching,Dermatologist
"constipation, blood in stool, headache",Gastroenterologist
"nausea, blood in stool, watering eyes",Gastroenterologist
"persistent cough, weight gain",Pulmonologist
"high blood pressure, chest pain, shortness of breath",Cardiologist
"fatigue, hoarseness, runny nose, chest tightness",ENT Specialist
"coughing blood, wheezing",Pulmonologist
"chest tightness, persistent cough, shortness of breath",Pulmonologist
"muscle weakness, bone pain, limited range of motion",Orthopedist
"limited range of motion, muscle weakness, back pain",Orthopedist
"shortness of breath, coughing blood, chest tightness",Pulmonologist
"fever, chills, loss of appetite, bone pain",General Physician
"palpitations, swelling of legs, shortness of breath, radiating arm pain, high blood pressure",Cardiologist
"headache, nasal congestion",ENT Specialist
"runny nose, sore throat, fatigue, mild headache",General Physician
"fatigue, sore throat, runny nose, headache, body ache",General Physician
"cough, chills",General Physician
"persistent cough, chest tightness, weight gain, blood in urine",Pulmonologist
"hives, sneezing",Allergist/Immunologist
"unexplained weight loss, fatigue, cold intolerance",Endocrinologist
"fever, difficulty passing urine",Urologist
"frequent urination, fever, dizziness, penile discharge",Urologist
acne,Dermatologist
"fever, cough, nausea, mild headache",General Physician
"red eye, eye pain, sudden vision loss, watering eyes",Ophthalmologist
"sore throat, runny nose, headache, fever",General Physician
"blood in stool, constipation",Gastroenterologist
"blisters, acne",Dermatologist
"fatigue, wheezing",General Physician
"diarrhea, nausea",Gastroenterologist
"weight gain, vomiting, heartburn, constipation",Gastroenterologist
"high blood pressure, sweating",Cardiologist
"body ache, runny nose, fatigue",General Physician
"persistent cough, coughing blood",Pulmonologist
"cough, mild headache, fever",General Physician
"bloating, weight gain",Gastroenterologist
"constipation, headache, nausea",Gastroenterologist
menstrual cramps,Gynecologist
"suicidal thoughts, insomnia, fever, mood swings",Psychiatrist
"shortness of breath, swelling of legs",Cardiologist
"fatigue, nausea, cough, body ache",General Physician
"cough, chills",General Physician
"fainting, palpitations, sweating, radiating arm pain",Cardiologist
"radiating arm pain, high blood pressure, sweating, chest pain, palpitations",Cardiologist
"chest tightness, wheezing, weight gain",Pulmonologist
"loss of appetite, sore throat, nausea",General Physician
"persistent cough, coughing blood, chest tightness, wheezing",Pulmonologist
"irregular periods, breast lump, painful periods",Gynecologist
"swelling, back pain",Orthopedist
"nausea, chills, loss of appetite, painful periods",General Physician
"runny nose, wheezing",Allergist/Immunologist
"headache, loss of appetite, nausea",General Physician
"hallucinations, depressed mood, panic attacks",Psychiatrist
"chest tightness, coughing blood",Pulmonologist
"scaly patches, acne, blisters",Dermatologist
"lower abdominal pain, fever, burning urination",Urologist
"red eye, eye discharge, blurred vision",Ophthalmologist
"coughing blood, persistent cough",Pulmonologist
"blisters, hair loss",Dermatologist
"watering eyes, sudden vision loss",Ophthalmologist
"frequent urination, cold intolerance",Endocrinologist
"weight gain, wheezing",Pulmonologist
"swelling, stiffness, back pain",Orthopedist
"swelling after exposure, fatigue",Allergist/Immunologist
"sore throat, nasal congestion, lower abdominal pain",ENT Specialist
"runny nose, hives, wheezing",Allergist/Immunologist
"blood in stool, heartburn",Gastroenterologist
back pain,Orthopedist
"hair loss, acne, scaly patches, itching, redness",Dermatologist
"heavy bleeding, menstrual cramps",Gynecologist
"fever, loss of consciousness, seizures",Neurologist
"nasal congestion, runny nose, headache, sore throat",ENT Specialist
"hair loss, itching, blisters",Dermatologist
"sneezing, itchy eyes, hives",Allergist/Immunologist
weakness,Neurologist
"ear pain, nasal congestion, runny nose",ENT Specialist
"persistent cough, chest tightness, abdominal pain",Pulmonologist
"hives, acne, redness, skin rash",Dermatologist
"blood in urine, difficulty passing urine, frequent urination, lower abdominal pain",Urologist
"weight gain, nausea, sneezing",Gastroenterologist
"flank pain, foamy urine, blood in urine, loss of consciousness",Nephrologist
"red eye, fever, eye discharge, blurred vision, eye pain",Ophthalmologist
"hives, itchy eyes",Allergist/Immunologist
chest tightness,Pulmonologist
"fainting, shortness of breath",Cardiologist
"sweating, fainting",Cardiologist
watering eyes,Ophthalmologist
"chest tightness, weight gain, shortness of breath",Pulmonologist
"loss of consciousness, memory loss, headache",Neurologist
"heartburn, blood in stool",Gastroenterologist
"hair loss, hives, dry skin, itching, blisters",Dermatologist
"hearing loss, tinnitus, weight gain, headache",ENT Specialist
"swelling, bone pain, stiffness",Orthopedist
"fever, headache",General Physician
"ear pain, weight gain",ENT Specialist
"hives, lower abdominal pain",Dermatologist
"unexplained weight loss, weight gain",Endocrinologist
"slurred speech, weakness, loss of consciousness",Neurologist
"weight gain, flank pain",Nephrologist
"tinnitus, headache, nasal congestion",ENT Specialist
"runny nose, swelling after exposure",Allergist/Immunologist
"slurred speech, headache",Neurologist
"wheezing, swelling after exposure, fatigue, hives",Allergist/Immunologist
"diarrhea, constipation",Gastroenterologist
"cold, loss of appetite",General Physician
frequent urination,Urologist
"fatigue, nausea, body ache",General Physician
"constipation, abdominal pain, heartburn",Gastroenterologist
"fatigue, swelling after exposure, runny nose",Allergist/Immunologist
"dizziness, fever, headache",Neurologist
"loss of appetite, fatigue",General Physician
"stiffness, muscle weakness, limited range of motion",Orthopedist
"body ache, runny nose, nausea",General Physician
"memory loss, weakness, fever",Neurologist
high blood pressure,Cardiologist
"flank pain, high creatinine",Nephrologist
"weight gain, high creatinine, reduced urine output",Nephrologist
"mild headache, sore throat, runny nose",General Physician
"hives, skin rash, redness, hair loss",Dermatologist
"joint pain, bone pain",Orthopedist
"loss of consciousness, numbness",Neurologist
"memory loss, seizures, heavy bleeding",Neurologist
"swelling, back pain, muscle weakness",Orthopedist
fatigue,Endocrinologist
"bloating, headache, diarrhea",Gastroenterologist
swelling after exposure,Allergist/Immunologist
"hair loss, itching, redness, blisters",Dermatologist
"fatigue, hives, wheezing, swelling after exposure",Allergist/Immunologist
limited range of motion,Orthopedist
"heartburn, headache",Gastroenterologist
fever,General Physician
"irregular periods, vaginal discharge, menstrual cramps",Gynecologist
"swelling after exposure, runny nose, wheezing",Allergist/Immunologist
"headache, tinnitus, runny nose",ENT Specialist
"fever, mild headache",General Physician
"stiffness, back pain, bone pain",Orthopedist
"breast lump, irregular periods, heavy bleeding",Gynecologist
"seizures, weakness, loss of consciousness, fever",Neurologist
"mild headache, sore throat, cough",General Physician
"flank pain, bone pain",Nephrologist
"constipation, bloating",Gastroenterologist
"swelling of legs, radiating arm pain, fainting",Cardiologist
"sore throat, nasal congestion",ENT Specialist
"palpitations, fainting, high blood pressure",Cardiologist
"limited range of motion, stiffness",Orthopedist
"sneezing, runny nose, hives",Allergist/Immunologist
"tinnitus, diarrhea",ENT Specialist
"palpitations, swelling of legs, fainting, radiating arm pain",Cardiologist
"cold, fatigue, nausea",General Physician
"weight gain, hearing loss, headache",ENT Specialist
"pelvic pain, breast lump",Gynecologist
"frequent urination, unexplained weight loss, heat intolerance, fatigue",Endocrinologist
"heavy bleeding, breast lump",Gynecologist
"penile discharge, fever",Urologist
"nausea, fatigue, body ache",General Physician
shortness of breath,Cardiologist
"fatigue, nausea, fever, chills",General Physician
"blisters, acne, hair loss, mild headache",Dermatologist
nasal congestion,ENT Specialist
"acne, redness, scaly patches",Dermatologist
"itching, hair loss, skin rash, dry skin",Dermatologist
"headache, fatigue, weight gain",ENT Specialist
"fatigue, mild headache, fever",General Physician
"fever, chills",General Physician
"bone pain, swelling",Orthopedist
"flank pain, swelling of feet, blood in urine",Nephrologist
"mild headache, cold, headache, fatigue",General Physician
"swelling of legs, sweating, palpitations",Cardiologist
"excessive thirst, cold intolerance, weight gain, fatigue, unexplained weight loss",Endocrinologist
"cold, chills, fever, body ache, runny nose",General Physician
"skin rash, blisters",Dermatologist
"bone pain, limited range of motion",Orthopedist
"radiating arm pain, fainting",Cardiologist
"radiating arm pain, swelling of legs, palpitations",Cardiologist
"depressed mood, panic attacks",Psychiatrist
"slurred speech, seizures, headache, fever",Neurologist
"cold intolerance, unexplained weight loss, fatigue",Endocrinologist
"heat intolerance, excessive thirst",Endocrinologist
"vomiting, diarrhea, heartburn",Gastroenterologist
"loss of appetite, chills, runny nose",General Physician
